title,location,price_final_pen,bedroom,bathroom,area,year_contruction,maintenance_num,housing_type,operation_type
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",2700.0,2 dormitorios,2 baños,103 m²,2010,304.0,Apartamento,Alquiler
Apartamento en alquiler en Cercado,"Cercado, Arequipa, Arequipa, Arequipa ",3100.0,3 dormitorios,4 baños,151 m²,2021,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Barranco, Lima, Lima ",2160.0,2 dormitorios,2 baños,66 m²,2020,150.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ",2600.0,1 dormitorio,2 baños,60 m²,2022,330.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, Santiago de Surco, Lima, Lima ",2300.0,2 dormitorios,2 baños,50 m²,2022,250.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",6900.0,5 dormitorios,3 baños,194 m²,1962,70.0,Casa,Alquiler
Habitación en alquiler en Ah. Los Jazmines Del Naranjal Sector Ii,"Ah. Los Jazmines Del Naranjal Sector Ii, San Martín de Porres, Lima, Lima ",350.0,1 dormitorio,1 baño,14 m²,2017,304.0,Habitación,Alquiler
Apartamento en alquiler en Ba. S/N,"Ba. S/N, Rimac, Lima, Lima ",3600.0,1 dormitorio,2 baños,134 m²,2022,650.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",4350.0,4 dormitorios,2 baños,185 m²,2000,225.0,Apartamento,Alquiler
Finca en alquiler en Tarata,"Tarata, Tarata, Tacna ",5460.0,2 dormitorios,2 baños,80 m²,2022,304.0,Finca,Alquiler
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ",3000.0,3 dormitorios,3 baños,70 m²,2022,280.0,Apartamento,Alquiler
Apartamento en alquiler en Surquillo,"Surquillo, Lima, Lima ",2600.0,2 dormitorios,2 baños,70 m²,2022,280.0,Apartamento,Alquiler
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ",1800.0,2 dormitorios,2 baños,120 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Tacna,"Tacna, Tacna, Tacna ",2940.0,1 dormitorio,1 baño,40 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. San Andres,"Ur. San Andres, Trujillo, Trujillo, La Libertad ",5500.0,6 dormitorios,5 baños,300 m²,1983,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. La Campiña,"Ur. La Campiña, Chorrillos, Lima, Lima ",1600.0,3 dormitorios,2 baños,76 m²,2022,304.0,Apartamento,Alquiler
Casa en alquiler en Pimentel,"Pimentel, Chiclayo, Lambayeque ",3500.0,2 dormitorios,3 baños,300 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",2600.0,2 dormitorios,2 baños,59 m²,2018,180.0,Apartamento,Alquiler
Apartamento en alquiler en Sd. Aeropuerto De Collique,"Sd. Aeropuerto De Collique, Comas, Lima, Lima ",1100.0,3 dormitorios,2 baños,75 m²,2018,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Beatriz,"Ur. Santa Beatriz, Lima, Lima, Lima ",1950.0,2 dormitorios,2 baños,67 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Jorge Chavez,"Ur. Jorge Chavez, Surquillo, Lima, Lima ",2300.0,3 dormitorios,2 baños,81 m²,2011,260.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",2600.0,2 dormitorios,2 baños,100 m²,2015,304.0,Apartamento,Alquiler
Apartamento en alquiler en Chiclayo,"Chiclayo, Chiclayo, Lambayeque ",1800.0,3 dormitorios,2 baños,120 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ",1800.0,2 dormitorios,1 baño,80 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia Del Mar,"Ur. Orrantia Del Mar, San Isidro, Lima, Lima ",1860.0,1 dormitorio,2 baños,90 m²,2015,304.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",5400.0,4 dormitorios,3 baños,288 m²,2003,304.0,Casa,Alquiler
Apartamento en alquiler en Jesús María,"Jesús María, Lima, Lima ",2500.0,3 dormitorios,2 baños,75 m²,2021,300.0,Apartamento,Alquiler
Apartamento en alquiler en Re. San Felipe,"Re. San Felipe, San Isidro, Lima, Lima ",2040.0,1 dormitorio,2 baños,47 m²,2019,280.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Ampliacion San Isidro,"Ur. Ampliacion San Isidro, San Isidro, Lima, Lima ",4050.0,2 dormitorios,3 baños,118 m²,2022,450.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",3450.0,3 dormitorios,3 baños,150 m²,2014,550.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Valle Hermoso Este,"Ur. Valle Hermoso Este, Santiago de Surco, Lima, Lima ",2700.0,3 dormitorios,3 baños,90 m²,1988,110.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ",2850.0,3 dormitorios,3 baños,137 m²,2022,100.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Las Begonias,"Ur. Las Begonias, San Borja, Lima, Lima ",2800.0,2 dormitorios,2 baños,130 m²,2000,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",4050.0,3 dormitorios,3 baños,202 m²,2009,490.0,Apartamento,Alquiler
Apartamento en alquiler en Sector 3,"Sector 3, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ",4200.0,3 dormitorios,2 baños,120 m²,2022,480.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Encantada,"Ur. La Encantada, Chorrillos, Lima, Lima ",2100.0,2 dormitorios,2 baños,70 m²,2016,304.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",4500.0,4 dormitorios,3 baños,300 m²,2008,100.0,Casa,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",3600.0,3 dormitorios,2 baños,160 m²,2005,304.0,Apartamento,Alquiler
Apartamento en alquiler en Urb los Patricios,"Urb los Patricios, Provincia de Lima, Municipalidad Metropolitana de Lima ",2250.0,3 dormitorios,2 baños,110 m²,2022,350.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Udima,"Ur. Udima, Magdalena del Mar, Lima, Lima ",1600.0,1 dormitorio,1 baño,42 m²,2022,120.0,Apartamento,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",3600.0,3 dormitorios,2 baños,140 m²,2005,304.0,Apartamento,Alquiler
Casa en alquiler en Ur. La Chacrita,"Ur. La Chacrita, Cayma, Arequipa, Arequipa ",3000.0,3 dormitorios,4 baños,283 m²,2022,304.0,Casa,Alquiler
Apartamento en alquiler en Miraflores,"Miraflores, Arequipa, Arequipa ",900.0,3 dormitorios,1 baño,70 m²,2020,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Risso,"Ur. Risso, San Isidro, Lima, Lima ",2100.0,1 dormitorio,1 baño,53 m²,2022,200.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",1650.0,2 dormitorios,1 baño,67 m²,2018,180.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Magisterial,"Ur. Magisterial, Arequipa, Arequipa, Arequipa ",2200.0,4 dormitorios,2 baños,100 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",4350.0,3 dormitorios,2 baños,175 m²,2014,500.0,Apartamento,Alquiler
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",3900.0,3 dormitorios,3 baños,107 m²,2010,440.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",2550.0,3 dormitorios,2 baños,125 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",1800.0,2 dormitorios,1 baño,62 m²,2008,180.0,Apartamento,Alquiler
Apartamento en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ",4500.0,4 dormitorios,4 baños,220 m²,2013,550.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. San Juan Sector D,"Ur. San Juan Sector D, San Juan de Miraflores, Lima, Lima ",1500.0,3 dormitorios,2 baños,135 m²,2012,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ah. Moron,"Ah. Moron, Chaclacayo, Lima, Lima ",1110.0,3 dormitorios,2 baños,85 m²,2011,304.0,Apartamento,Alquiler
Casa en alquiler en Pimentel,"Pimentel, Chiclayo, Lambayeque ",3500.0,2 dormitorios,2 baños,300 m²,2022,304.0,Casa,Alquiler
Casa en alquiler en Cieneguilla,"Cieneguilla, Lima, Lima ",4500.0,3 dormitorios,3 baños,500 m²,2020,304.0,Casa,Alquiler
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",4200.0,2 dormitorios,2 baños,111 m²,2005,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",3150.0,1 dormitorio,3 baños,125 m²,2018,380.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",2550.0,2 dormitorios,2 baños,84 m²,2012,400.0,Apartamento,Alquiler
Casa en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ",2600.0,3 dormitorios,2 baños,92 m²,1960,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Barboncito,"Ur. Barboncito, Miraflores, Lima, Lima ",3000.0,2 dormitorios,3 baños,124 m²,2023,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",2300.0,1 dormitorio,1 baño,43 m²,2013,230.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",2100.0,3 dormitorios,3 baños,89 m²,2010,400.0,Apartamento,Alquiler
Casa en alquiler en Ur. Los Halcones,"Ur. Los Halcones, Chaclacayo, Lima, Lima ",5400.0,3 dormitorios,3 baños,624 m²,1988,1.0,Casa,Alquiler
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",1530.0,1 dormitorio,1 baño,55 m²,2022,304.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ",1800.0,3 dormitorios,2 baños,82 m²,2014,250.0,Apartamento,Alquiler
Apartamento en alquiler en Cayma,"Cayma, Cerro Colorado, Arequipa, Arequipa ",2700.0,3 dormitorios,3 baños,110 m²,2022,1.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ",2800.0,2 dormitorios,2 baños,60 m²,2019,200.0,Apartamento,Alquiler
Apartamento en alquiler en Lince,"Lince, Lima, Lima ",2100.0,1 dormitorio,1 baño,50 m²,2022,200.0,Apartamento,Alquiler
Apartamento en alquiler en Ur. Chiclin,"Ur. Chiclin, La Perla, Callao, Callao ",2500.0,1 dormitorio,1 baño,41 m²,2017,110.0,Apartamento,Alquiler
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",8400.0,4 dormitorios,3 baños,"1,021 m²",2022,304.0,Casa,Alquiler
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",2850.0,3 dormitorios,3 baños,180 m²,1983,450.0,Apartamento,Alquiler
